f:clf_cats_class,f:clf_cats_score,f:clf_earlySNIa_score,f:clf_elephant_kstest_science,f:clf_elephant_kstest_template,f:clf_snnSnVsOthers_score,f:fink_broker_version,f:fink_science_version,f:lsst_schema_version,f:xm_gaiadr3_DR3Name,f:xm_gaiadr3_Plx,f:xm_gaiadr3_VarFlag,f:xm_gaiadr3_e_Plx,f:xm_gcvs_type,f:xm_legacydr8_e_zphot,f:xm_legacydr8_fqual,f:xm_legacydr8_pstar,f:xm_legacydr8_zphot,f:xm_mangrove_2MASS_name,f:xm_mangrove_HyperLEDA_name,f:xm_mangrove_ang_dist,f:xm_mangrove_lum_dist,f:xm_simbad_otype,f:xm_spicy_class,f:xm_tns_fullname,f:xm_tns_redshift,f:xm_tns_type,f:xm_vsx_Type,f:xm_x3hsp_type,f:xm_x4lac_type,r:apFlux,r:apFluxErr,r:apFlux_flag,r:apFlux_flag_apertureTruncated,r:band,r:bboxSize,r:centroid_flag,r:dec,r:decErr,r:detector,r:diaObjectId,r:diaSourceId,r:dipoleAngle,r:dipoleChi2,r:dipoleFitAttempted,r:dipoleFluxDiff,r:dipoleFluxDiffErr,r:dipoleLength,r:dipoleMeanFlux,r:dipoleMeanFluxErr,r:dipoleNdata,r:extendedness,r:forced_PsfFlux_flag,r:forced_PsfFlux_flag_edge,r:forced_PsfFlux_flag_noGoodPixels,r:glint_trail,r:isDipole,r:isNegative,r:ixx,r:ixxPSF,r:ixy,r:ixyPSF,r:iyy,r:iyyPSF,r:midpointMjdTai,r:observation_reason,r:parentDiaSourceId,r:pixelFlags,r:pixelFlags_bad,r:pixelFlags_cr,r:pixelFlags_crCenter,r:pixelFlags_edge,r:pixelFlags_injected,r:pixelFlags_injectedCenter,r:pixelFlags_injected_template,r:pixelFlags_injected_templateCenter,r:pixelFlags_interpolated,r:pixelFlags_interpolatedCenter,r:pixelFlags_nodata,r:pixelFlags_nodataCenter,r:pixelFlags_offimage,r:pixelFlags_saturated,r:pixelFlags_saturatedCenter,r:pixelFlags_streak,r:pixelFlags_streakCenter,r:pixelFlags_suspect,r:pixelFlags_suspectCenter,r:psfChi2,r:psfFlux,r:psfFluxErr,r:psfFlux_flag,r:psfFlux_flag_edge,r:psfFlux_flag_noGoodPixels,r:psfLnL,r:psfNdata,r:ra,r:raErr,r:ra_dec_Cov,r:reliability,r:salt,r:scienceFlux,r:scienceFluxErr,r:shape_flag,r:shape_flag_no_pixels,r:shape_flag_not_contained,r:shape_flag_parent_source,r:snr,r:ssObjectId,r:target_name,r:templateFlux,r:templateFluxErr,r:timeProcessedMjdTai,r:timeWithdrawnMjdTai,r:trailAngle,r:trailAngleErr,r:trailChi2,r:trailDec,r:trailDecErr,r:trailFlux,r:trailFluxErr,r:trailLength,r:trailLengthErr,r:trailNdata,r:trailRa,r:trailRaErr,r:trail_flag_edge,r:visit,r:x,r:xErr,r:y,r:yErr
11,0.92531306,-1.0,,,0.82736725,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,1553.5472,432.6734,False,False,r,23,False,2.3014357922870947,6.657147e-07,95,313985344757301296,170059314289442818,-1.6616155,238.12741,True,0.0,259.6163,0.04602298,44467.758,129.80815,1320,0.066144645,False,False,False,False,True,False,0.24306144,0.21178445,-0.059297234,0.0042059794,0.09210759,0.16909115,61097.30941434331,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1994.8646,1127.1144,243.94818,False,False,False,,1681,149.99389368982602,6.9912505e-07,-2.5130548e-14,0.5131425,296,46172.113,241.30295,False,False,False,False,12.015185,0,"ddf_cosmos, lowdust",45045.684,14.665033,61097.31123342562,,-85.26543,,,2.301552272526074,,2806.8655,3.052676,1.3223382,,0,149.9939011348015,,False,2026022500371,330.23886,0.012713172,52.89849,0.011821868
11,0.933272,-1.0,,,0.83500606,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,1921.9319,491.0071,False,False,r,20,False,2.301478905934686,3.0215573e-05,91,313985344757301296,170054987913101412,,,False,,,,,,0,0.23347402,False,False,False,False,False,False,0.19522387,0.2491791,-0.06489117,-0.028843733,0.3754654,0.22135772,61096.32246304526,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1734.933,1856.0536,263.69586,False,False,False,,1681,149.99380615373212,3.7226433e-05,1.06915754e-10,0.5174303,296,41259.93,262.42688,False,False,False,False,7.2088594,0,"ddf_cosmos, lowdust",39395.51,24.078548,61096.324194836365,,-84.329506,,,2.301482818102842,,2097.896,6.865482,1.4777428,,0,149.99380028129377,,False,2026022400905,3892.411,0.5363638,3498.6257,0.67492265
11,0.8990641,-1.0,,,0.83500606,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,2160.1545,480.7839,False,False,r,21,False,2.3013962887583683,5.097748e-05,95,313985344757301296,170054987109892111,,,False,,,,,,0,0.29915968,False,False,False,False,False,False,0.027550634,0.27744958,0.019886672,0.029208416,0.34566745,0.21412286,61096.31939791344,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1698.3964,1873.0023,250.53673,False,False,False,,1681,149.99402287830463,3.4833487e-05,1.3546139e-10,0.50616765,296,37776.45,249.39272,False,False,False,False,8.208609,0,"ddf_cosmos, lowdust",35897.867,44.00777,61096.32105516619,,1.9932358,,,2.301392274604799,,2321.832,45.739277,1.6222026,,0,149.99404370820702,,False,2026022400899,2047.5381,0.62295073,414.2243,0.91900474
11,0.54011697,-1.0,,,0.8347661,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,-971.99963,1250.5784,False,False,z,11,False,2.301435896271083,1.6251446e-05,98,313985344757301296,170054984024457282,,,False,,,,,,0,,False,False,False,False,False,False,,0.15337458,,0.0020703464,,0.12677005,61096.28821227863,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1754.7445,3139.4631,509.0477,False,False,False,,1681,149.9939221239652,1.6582755e-05,6.819121e-12,0.767698,296,60253.48,504.36597,True,False,False,False,5.9686947,0,"ddf_cosmos, lowdust",57087.293,96.13231,61096.28980653327,,,,,,,,,,,0,,,False,2026022400876,1026.9786,0.29047287,2254.1582,0.300107
11,0.5586221,-1.0,,,0.8347661,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,3151.8865,1033.1395,False,False,z,14,False,2.3014702956493145,1.3070604e-05,52,313985344757301296,170054966417817720,,,False,,,,,,0,,False,False,False,False,False,False,,0.16525304,,-0.0020526014,,0.124706544,61096.21877667205,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1834.6427,2544.7554,425.65842,False,False,False,,1681,149.99391253036472,1.4574795e-05,1.7851947e-11,0.68141794,296,57630.188,416.65598,True,False,False,False,5.613049,0,"ddf_cosmos, lowdust",55021.68,163.2699,61096.22053994331,,,,,,,,,,,0,,,False,2026022400745,1592.1438,0.23053892,3128.3386,0.266304
13,0.55723464,-1.0,,,0.8347764,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,3366.758,1019.8705,False,False,z,18,False,2.301425261055249,2.0081137e-05,92,313985344757301296,170054951809056874,,,False,,,,,,0,0.30123234,False,False,False,False,False,False,0.114188634,0.15528712,-0.07251866,-0.015274685,0.094022915,0.14590852,61096.16192296257,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1674.4365,3095.3186,434.46414,False,False,False,,1681,149.99392860094014,2.7327476e-05,2.8819563e-10,0.592762,296,58974.266,425.88882,False,False,False,False,6.8404403,0,"ddf_cosmos, lowdust",55841.688,104.37066,61096.16356352804,,19.355392,,,2.3014236506414987,,3065.9854,127.956,1.1266943,,0,149.99392717144093,,False,2026022400636,2494.3682,0.5428765,3324.4988,0.27841616
13,0.4067269,-1.0,,,0.8344388,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,2177.9336,376.86533,False,False,g,25,False,2.3014201281714493,7.170837e-07,95,313985344757301296,170054949797363730,-83.92618,227.14893,True,0.0,244.90985,0.042789143,40577.77,122.454926,1323,,False,False,False,False,True,False,,0.21846049,,-0.01101047,,0.169954,61096.15346523293,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2135.0823,1931.0249,210.86978,False,False,False,,1681,149.99389742059924,7.0762735e-07,4.583411e-14,0.56540954,296,42377.293,210.84505,True,False,False,False,15.619145,0,"ddf_cosmos, lowdust",40447.336,45.895054,61096.15517924233,,,,,,,,,,,0,,,False,2026022400621,3211.0132,0.013380357,818.4795,0.012210291
11,0.59286743,-1.0,,,0.83455384,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,1518.2102,393.5281,False,False,g,25,False,2.301421122806964,6.9295834e-07,86,313985344757301296,170054948316250151,-78.7226,244.53471,True,0.0,246.35468,0.048387863,40472.453,123.17734,1584,0.60861665,False,False,False,False,True,False,0.1170464,0.19952957,-0.019541387,-0.021765271,0.086168006,0.17049721,61096.14836881457,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2186.6455,1860.0332,212.40865,False,False,False,,1681,149.9938988352234,7.1329674e-07,2.4839937e-14,0.5088189,296,42022.656,212.16359,False,False,False,False,15.77627,0,"ddf_cosmos, lowdust",40156.734,49.475582,61096.150020222594,,34.150635,,,2.301421837611848,,3182.4043,2.5807881,0.72358835,,0,149.99379585365287,,False,2026022400610,3195.396,0.013006357,1235.4711,0.012272086
11,0.6367271,-1.0,,,0.8344387,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,1270.371,398.04132,True,False,g,28,True,2.3014182572712714,1.0143671e-05,91,313985344757301296,170054948050436119,,,False,,,,,,0,,True,False,False,False,False,False,0.11412387,0.19258378,-0.06741681,-0.0153155355,0.1896585,0.196544,61096.14746810263,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2011.7961,3534.8674,192.73216,True,False,False,,1681,149.99375771162323,7.878586e-06,-2.2406611e-11,0.5437264,296,30704.113,193.05443,True,False,False,False,18.522923,0,"ddf_cosmos, lowdust",27131.666,28.296654,61096.1491424352,,,,,,,,,,,0,,,False,2026022400608,519.38513,0.1298766,857.3571,0.1909587
11,0.5552554,-1.0,,,0.834552,4.1,8.39.0,lsst.v10_0,Gaia DR3 3836275818263759616,0.4008,0,0.8226,,0.608,0,0.0,1.865,,,,,QSO,,,,,,,,2093.165,401.56076,False,False,g,25,False,2.301419745466583,7.3163244e-07,91,313985344757301296,170054947647782921,-87.55122,214.71309,True,0.0,240.79488,0.060887985,40292.207,120.39744,1584,0.45548698,False,False,False,False,True,False,0.10730082,0.19482388,-0.022905832,-0.0023202258,0.15211803,0.20400444,61096.146068488044,alert_cosmos,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2127.8372,1881.4503,216.44968,False,False,False,,1681,149.99389894286216,7.025115e-07,-1.19581215e-14,0.6327557,296,41932.65,217.32935,False,False,False,False,18.75663,0,"ddf_cosmos, lowdust",40053.426,31.866226,61096.1476716092,,7.892514,,,2.301413025934727,,3872.8716,1.5790573,0.82039094,,0,149.993767065118,,False,2026022400605,2955.365,0.012591149,359.39273,0.013194894
